time,low,high,open,close,vol
2025-11-18 22:30:00+00:00,93182.28,93372.25,93192.92,93215.68,52.71225328
2025-11-18 22:45:00+00:00,93051.6,93246.57,93215.68,93112.95,39.60327282
2025-11-18 23:00:00+00:00,92671.13,93126.61,93112.95,92782.0,85.45005102
2025-11-18 23:15:00+00:00,92695.76,92889.99,92788.16,92784.46,72.86609455
2025-11-18 23:30:00+00:00,92754.23,92968.7,92787.0,92831.75,63.16106342
2025-11-18 23:45:00+00:00,92695.76,92985.67,92830.99,92914.46,48.08136739
2025-11-19 00:00:00+00:00,92450.0,92948.0,92914.45,92458.45,90.38462796
2025-11-19 00:15:00+00:00,91914.79,92504.25,92458.46,92249.81,158.63303691
2025-11-19 00:30:00+00:00,91999.99,92608.82,92249.99,92567.41,157.02237495
2025-11-19 00:45:00+00:00,92346.0,92608.77,92561.93,92354.58,101.04268816
2025-11-19 01:00:00+00:00,91954.01,92384.91,92354.58,91971.98,179.24908817
2025-11-19 01:15:00+00:00,91852.83,92590.95,91971.98,92369.85,149.53558178
2025-11-19 01:30:00+00:00,92139.52,92452.48,92365.98,92310.84,108.41236104
2025-11-19 01:45:00+00:00,92094.53,92382.55,92310.85,92379.41,94.58020925
2025-11-19 02:00:00+00:00,92259.41,92692.81,92379.41,92668.76,95.69737485
2025-11-19 02:15:00+00:00,92210.04,92810.27,92668.76,92544.94,130.58855773
2025-11-19 02:30:00+00:00,92508.0,92790.0,92544.94,92564.87,74.21036446
2025-11-19 02:45:00+00:00,92465.9,92753.0,92564.87,92497.54,72.61642784
2025-11-19 03:00:00+00:00,92267.0,92568.96,92497.54,92267.01,89.85429027
2025-11-19 03:15:00+00:00,92091.98,92269.03,92267.01,92234.44,90.71776643
2025-11-19 03:30:00+00:00,91674.01,92234.43,92234.43,91838.0,158.30460235
2025-11-19 03:45:00+00:00,91588.79,91944.0,91837.32,91805.53,139.5322518
2025-11-19 04:00:00+00:00,91636.46,91916.7,91802.62,91665.55,126.13826343
2025-11-19 04:15:00+00:00,91546.65,91767.32,91672.53,91629.49,142.24492056
2025-11-19 04:30:00+00:00,91262.27,91636.44,91629.49,91374.68,174.98645718
2025-11-19 04:45:00+00:00,91083.17,91432.65,91374.68,91083.17,79.5718838
2025-11-19 05:00:00+00:00,90780.87,91192.0,91085.1,90830.72,147.80829739
2025-11-19 05:15:00+00:00,90753.84,91038.92,90828.42,90773.99,97.25226629
2025-11-19 05:30:00+00:00,90259.57,90781.63,90776.02,90268.65,156.81580701
2025-11-19 05:45:00+00:00,89955.55,90384.93,90268.65,90384.87,285.95781951
2025-11-19 06:00:00+00:00,90209.04,90609.87,90388.99,90591.0,149.27796692
2025-11-19 06:15:00+00:00,90410.96,90748.92,90593.5,90748.92,101.11144066
2025-11-19 06:30:00+00:00,90740.52,90952.61,90748.91,90893.71,154.99882407
2025-11-19 06:45:00+00:00,90736.67,91039.24,90893.69,90914.01,73.67990931
2025-11-19 07:00:00+00:00,90879.81,91294.29,90914.01,91250.92,95.09450648
2025-11-19 07:15:00+00:00,91100.67,91354.24,91250.91,91202.02,86.5042333
2025-11-19 07:30:00+00:00,91121.11,91740.24,91203.98,91690.66,131.47170512
2025-11-19 07:45:00+00:00,91660.71,91955.47,91688.2,91807.64,125.92025867
2025-11-19 08:00:00+00:00,91620.02,91852.0,91804.14,91734.0,72.79303731
2025-11-19 08:15:00+00:00,91557.35,91900.23,91734.0,91870.99,110.26399995
2025-11-19 08:30:00+00:00,91445.85,91868.06,91868.05,91547.4,51.411155
2025-11-19 08:45:00+00:00,91251.76,91547.4,91547.4,91416.0,103.47451799
2025-11-19 09:00:00+00:00,91016.94,91451.87,91415.35,91288.96,109.99832686
2025-11-19 09:15:00+00:00,91055.37,91357.1,91293.92,91234.28,103.02138044
2025-11-19 09:30:00+00:00,91234.28,91439.67,91234.28,91395.15,69.24479601
2025-11-19 09:45:00+00:00,91214.42,91470.46,91395.14,91470.46,87.33277955
2025-11-19 10:00:00+00:00,91415.81,91645.33,91465.41,91456.12,60.27589487
2025-11-19 10:15:00+00:00,91272.71,91542.43,91456.12,91426.79,52.53221585
2025-11-19 10:30:00+00:00,91318.0,91450.0,91424.04,91430.32,53.83719628
2025-11-19 10:45:00+00:00,91160.83,91430.31,91430.31,91234.0,49.16583445
2025-11-19 11:00:00+00:00,91233.99,91577.1,91234.0,91577.1,40.95111358
2025-11-19 11:15:00+00:00,91477.83,91708.87,91577.09,91480.01,70.46815202
2025-11-19 11:30:00+00:00,91399.22,91554.32,91480.01,91506.07,41.96648151
2025-11-19 11:45:00+00:00,91264.12,91528.56,91506.07,91342.79,36.19843082
2025-11-19 12:00:00+00:00,91269.09,91531.35,91339.36,91355.2,66.83793356
2025-11-19 12:15:00+00:00,91134.66,91399.36,91356.63,91288.17,78.70594705
2025-11-19 12:30:00+00:00,91239.27,91447.46,91288.27,91393.03,44.27661101
2025-11-19 12:45:00+00:00,91368.9,91804.0,91390.58,91712.0,120.89381206
2025-11-19 13:00:00+00:00,91482.79,91726.32,91712.55,91538.0,83.36497689
