time,funding
2026-02-21 00:00:00+00:00,7.419e-05
2026-02-21 08:00:00+00:00,6.983e-05
2026-02-21 16:00:00+00:00,0.0001
2026-02-22 00:00:00+00:00,8.187e-05
2026-02-22 08:00:00+00:00,-1.853e-05
2026-02-22 16:00:00+00:00,-5.581e-05
2026-02-23 00:00:00+00:00,-4.69e-05
2026-02-23 08:00:00+00:00,-0.00020824
2026-02-23 16:00:00+00:00,2.452e-05
2026-02-24 00:00:00+00:00,-2.249e-05
2026-02-24 08:00:00+00:00,-0.00011943
2026-02-24 16:00:00+00:00,-1.053e-05
2026-02-25 00:00:00+00:00,-4.87e-06
2026-02-25 08:00:00+00:00,8.885e-05
2026-02-25 16:00:00+00:00,0.0001
2026-02-26 00:00:00+00:00,0.0001
2026-02-26 08:00:00+00:00,0.0001
2026-02-26 16:00:00+00:00,8.493e-05
2026-02-27 00:00:00+00:00,1.962e-05
2026-02-27 08:00:00+00:00,4.068e-05
2026-02-27 16:00:00+00:00,-2.46e-05
2026-02-28 00:00:00+00:00,-6.276e-05
2026-02-28 08:00:00+00:00,-7.829e-05
2026-02-28 16:00:00+00:00,-2.844e-05
2026-03-01 00:00:00+00:00,3.367e-05
2026-03-01 08:00:00+00:00,0.0001
2026-03-01 16:00:00+00:00,0.0001
2026-03-02 00:00:00+00:00,4.24e-06
2026-03-02 08:00:00+00:00,2.859e-05
2026-03-02 16:00:00+00:00,2.819e-05
2026-03-03 00:00:00+00:00,0.0001
2026-03-03 08:00:00+00:00,-5.96e-06
2026-03-03 16:00:00+00:00,-5.368e-05
2026-03-04 00:00:00+00:00,1.935e-05
2026-03-04 08:00:00+00:00,-9.92e-06
2026-03-04 16:00:00+00:00,0.0001
2026-03-05 00:00:00+00:00,3.022e-05
2026-03-05 08:00:00+00:00,1.2e-07
2026-03-05 16:00:00+00:00,-2.984e-05
2026-03-06 00:00:00+00:00,5.956e-05
2026-03-06 08:00:00+00:00,5.578e-05
2026-03-06 16:00:00+00:00,-6.952e-05
2026-03-07 00:00:00+00:00,-1.712e-05
2026-03-07 08:00:00+00:00,-4.361e-05
2026-03-07 16:00:00+00:00,4.72e-06
2026-03-08 00:00:00+00:00,-3.413e-05
2026-03-08 08:00:00+00:00,-7.021e-05
2026-03-08 16:00:00+00:00,-6.106e-05
2026-03-09 00:00:00+00:00,-0.00015305
2026-03-09 08:00:00+00:00,8.256e-05
2026-03-09 16:00:00+00:00,9.217e-05
2026-03-10 00:00:00+00:00,1.748e-05
2026-03-10 08:00:00+00:00,8.52e-05
2026-03-10 16:00:00+00:00,7.858e-05
2026-03-11 00:00:00+00:00,1.02e-05
2026-03-11 08:00:00+00:00,-1.962e-05
2026-03-11 16:00:00+00:00,0.0001
2026-03-12 00:00:00+00:00,2.121e-05
2026-03-12 08:00:00+00:00,-5.169e-05
2026-03-12 16:00:00+00:00,4.451e-05
2026-03-13 00:00:00+00:00,2.704e-05
2026-03-13 08:00:00+00:00,4.41e-05
2026-03-13 16:00:00+00:00,5.261e-05
2026-03-14 00:00:00+00:00,1.092e-05
2026-03-14 08:00:00+00:00,-1.687e-05
2026-03-14 16:00:00+00:00,-5.906e-05
2026-03-15 00:00:00+00:00,-3.817e-05
2026-03-15 08:00:00+00:00,7.794e-05
2026-03-15 16:00:00+00:00,8.05e-06
2026-03-16 00:00:00+00:00,7.782e-05
2026-03-16 08:00:00+00:00,0.0001
2026-03-16 16:00:00+00:00,3.692e-05
2026-03-17 00:00:00+00:00,3.371e-05
2026-03-17 08:00:00+00:00,3.187e-05
2026-03-17 16:00:00+00:00,4.974e-05
2026-03-18 00:00:00+00:00,-2.499e-05
2026-03-18 08:00:00+00:00,-3.364e-05
2026-03-18 16:00:00+00:00,-2.873e-05
2026-03-19 00:00:00+00:00,3.889e-05
2026-03-19 08:00:00+00:00,1.86e-06
2026-03-19 16:00:00+00:00,7.02e-06
2026-03-20 00:00:00+00:00,3.252e-05
2026-03-20 08:00:00+00:00,4.12e-06
2026-03-20 16:00:00+00:00,-2.131e-05
2026-03-21 00:00:00+00:00,2.883e-05
2026-03-21 08:00:00+00:00,3.087e-05
2026-03-21 16:00:00+00:00,7.08e-06
2026-03-22 00:00:00+00:00,2.692e-05
2026-03-22 08:00:00+00:00,-2.85e-06
2026-03-22 16:00:00+00:00,1.084e-05
2026-03-23 00:00:00+00:00,-2.962e-05
2026-03-23 08:00:00+00:00,1.2e-06
2026-03-23 16:00:00+00:00,6.478e-05
2026-03-24 00:00:00+00:00,4.832e-05
2026-03-24 08:00:00+00:00,4.99e-06
2026-03-24 16:00:00+00:00,3.363e-05
2026-03-25 00:00:00+00:00,5.948e-05
2026-03-25 08:00:00+00:00,6.909e-05
2026-03-25 16:00:00+00:00,5.266e-05
2026-03-26 00:00:00+00:00,4.595e-05
2026-03-26 08:00:00+00:00,-3.185e-05
2026-03-26 16:00:00+00:00,-4.332e-05
2026-03-27 00:00:00+00:00,-2.48e-06
2026-03-27 08:00:00+00:00,-1.01e-06
2026-03-27 16:00:00+00:00,-0.00015665
2026-03-28 00:00:00+00:00,1.695e-05
2026-03-28 08:00:00+00:00,3.173e-05
2026-03-28 16:00:00+00:00,-7.4e-07
2026-03-29 00:00:00+00:00,-2.2e-06
2026-03-29 08:00:00+00:00,-2.779e-05
2026-03-29 16:00:00+00:00,-6.661e-05
2026-03-30 00:00:00+00:00,-9.49e-06
2026-03-30 08:00:00+00:00,0.0001
2026-03-30 16:00:00+00:00,4.563e-05
2026-03-31 00:00:00+00:00,2.755e-05
2026-03-31 08:00:00+00:00,0.0001
2026-03-31 16:00:00+00:00,6.342e-05
2026-04-01 00:00:00+00:00,6.238e-05
2026-04-01 08:00:00+00:00,0.0001
2026-04-01 16:00:00+00:00,2.77e-06
2026-04-02 00:00:00+00:00,-5.324e-05
2026-04-02 08:00:00+00:00,-9.567e-05
2026-04-02 16:00:00+00:00,-5.9e-05
2026-04-03 00:00:00+00:00,3.243e-05
2026-04-03 08:00:00+00:00,5.042e-05
2026-04-03 16:00:00+00:00,-4.974e-05
2026-04-04 00:00:00+00:00,-3.428e-05
2026-04-04 08:00:00+00:00,2.555e-05
2026-04-04 16:00:00+00:00,-5.297e-05
2026-04-05 00:00:00+00:00,1.785e-05
2026-04-05 08:00:00+00:00,-7.888e-05
2026-04-05 16:00:00+00:00,-0.00010322
2026-04-06 00:00:00+00:00,4.059e-05
2026-04-06 08:00:00+00:00,0.0001
2026-04-06 16:00:00+00:00,5.365e-05
2026-04-07 00:00:00+00:00,-9.356e-05
2026-04-07 08:00:00+00:00,-7.812e-05
2026-04-07 16:00:00+00:00,4.32e-06
2026-04-08 00:00:00+00:00,0.0001
2026-04-08 08:00:00+00:00,0.0001
2026-04-08 16:00:00+00:00,2.924e-05
2026-04-09 00:00:00+00:00,5.194e-05
2026-04-09 08:00:00+00:00,2.03e-05
2026-04-09 16:00:00+00:00,3.657e-05
2026-04-10 00:00:00+00:00,0.0001
2026-04-10 08:00:00+00:00,4.567e-05
