ts,city,target,gfs_max,ens_mean,ens_std,ecmwf_max
2026-09-05T18:21:16+00:00,NYC,2026-09-05,79.7,81.93225806451613,1.3145309716161842,
2026-09-05T18:21:19+00:00,NYC,2026-09-06,70.6,75.57096774193548,2.0243985245144276,
2026-09-05T18:21:22+00:00,CHI,2026-09-05,80.7,82.80967741935486,1.7678773199864213,
2026-09-05T18:21:26+00:00,CHI,2026-09-06,80.1,80.2322580645161,1.7156560104828509,
2026-09-05T18:22:15+00:00,NYC,2026-09-05,79.7,81.93225806451613,1.3145309716161842,
2026-09-05T18:22:19+00:00,NYC,2026-09-06,70.6,75.57096774193548,2.0243985245144276,
2026-09-05T18:22:22+00:00,CHI,2026-09-05,80.7,82.80967741935486,1.7678773199864213,
2026-09-05T18:22:25+00:00,CHI,2026-09-06,80.1,80.2322580645161,1.7156560104828509,
2026-09-05T18:23:15+00:00,NYC,2026-09-05,79.7,81.93225806451613,1.3145309716161842,
2026-09-05T18:23:18+00:00,NYC,2026-09-06,70.6,75.57096774193548,2.0243985245144276,
2026-09-05T18:23:20+00:00,CHI,2026-09-05,80.7,82.80967741935486,1.7678773199864213,
2026-09-05T18:23:22+00:00,CHI,2026-09-06,80.1,80.2322580645161,1.7156560104828509,
2026-09-05T18:24:15+00:00,NYC,2026-09-05,79.7,81.93225806451613,1.3145309716161842,
2026-09-05T18:24:17+00:00,NYC,2026-09-06,70.6,75.57096774193548,2.0243985245144276,
2026-09-05T18:24:19+00:00,CHI,2026-09-05,80.7,82.80967741935486,1.7678773199864213,
2026-09-05T18:24:22+00:00,CHI,2026-09-06,80.1,80.2322580645161,1.7156560104828509,
2026-09-05T18:25:15+00:00,NYC,2026-09-05,79.7,81.93225806451613,1.3145309716161842,
2026-09-05T18:25:17+00:00,NYC,2026-09-06,70.6,75.57096774193548,2.0243985245144276,
2026-09-05T18:25:19+00:00,CHI,2026-09-05,80.7,82.80967741935486,1.7678773199864213,
2026-09-05T18:25:22+00:00,CHI,2026-09-06,80.1,80.2322580645161,1.7156560104828509,
2026-09-05T18:26:15+00:00,NYC,2026-09-05,79.7,81.93225806451613,1.3145309716161842,
2026-09-05T18:26:17+00:00,NYC,2026-09-06,70.6,75.57096774193548,2.0243985245144276,
2026-09-05T18:26:19+00:00,CHI,2026-09-05,80.7,82.80967741935486,1.7678773199864213,
2026-09-05T18:26:22+00:00,CHI,2026-09-06,80.1,80.2322580645161,1.7156560104828509,
2026-09-05T18:27:15+00:00,NYC,2026-09-05,79.7,81.93225806451613,1.3145309716161842,
2026-09-05T18:27:17+00:00,NYC,2026-09-06,70.6,75.57096774193548,2.0243985245144276,
2026-09-05T18:27:19+00:00,CHI,2026-09-05,80.7,82.80967741935486,1.7678773199864213,
2026-09-05T18:27:21+00:00,CHI,2026-09-06,80.1,80.2322580645161,1.7156560104828509,
2026-09-05T18:28:15+00:00,NYC,2026-09-05,79.7,81.93225806451613,1.3145309716161842,
2026-09-05T18:28:17+00:00,NYC,2026-09-06,70.6,75.57096774193548,2.0243985245144276,
2026-09-05T18:28:19+00:00,CHI,2026-09-05,80.7,82.80967741935486,1.7678773199864213,
2026-09-05T18:28:21+00:00,CHI,2026-09-06,80.1,80.2322580645161,1.7156560104828509,
2026-09-05T18:29:15+00:00,NYC,2026-09-05,79.7,81.93225806451613,1.3145309716161842,
2026-09-05T18:29:17+00:00,NYC,2026-09-06,70.6,75.57096774193548,2.0243985245144276,
2026-09-05T18:29:19+00:00,CHI,2026-09-05,80.7,82.80967741935486,1.7678773199864213,
2026-09-05T18:29:21+00:00,CHI,2026-09-06,80.1,80.2322580645161,1.7156560104828509,
2026-09-05T18:30:15+00:00,NYC,2026-09-05,79.7,81.93225806451613,1.3145309716161842,
2026-09-05T18:30:17+00:00,NYC,2026-09-06,70.6,75.57096774193548,2.0243985245144276,
2026-09-05T18:30:19+00:00,CHI,2026-09-05,80.7,82.80967741935486,1.7678773199864213,
2026-09-05T18:30:22+00:00,CHI,2026-09-06,80.1,80.2322580645161,1.7156560104828509,
2026-09-05T18:31:15+00:00,NYC,2026-09-05,79.7,81.93225806451613,1.3145309716161842,
2026-09-05T18:31:17+00:00,NYC,2026-09-06,70.6,75.57096774193548,2.0243985245144276,
2026-09-05T18:31:19+00:00,CHI,2026-09-05,80.7,82.80967741935486,1.7678773199864213,
2026-09-05T18:31:21+00:00,CHI,2026-09-06,80.1,80.2322580645161,1.7156560104828509,
2026-09-05T18:32:15+00:00,NYC,2026-09-05,79.7,81.93225806451613,1.3145309716161842,
2026-09-05T18:32:18+00:00,NYC,2026-09-06,70.6,75.57096774193548,2.0243985245144276,
2026-09-05T18:32:20+00:00,CHI,2026-09-05,80.7,82.80967741935486,1.7678773199864213,
2026-09-05T18:32:22+00:00,CHI,2026-09-06,80.1,80.2322580645161,1.7156560104828509,
2026-09-05T18:33:15+00:00,NYC,2026-09-05,79.7,81.93225806451613,1.3145309716161842,
2026-09-05T18:33:17+00:00,NYC,2026-09-06,70.6,75.57096774193548,2.0243985245144276,
2026-09-05T18:33:19+00:00,CHI,2026-09-05,80.7,82.80967741935486,1.7678773199864213,
2026-09-05T18:33:21+00:00,CHI,2026-09-06,80.1,80.2322580645161,1.7156560104828509,
2026-09-05T18:34:15+00:00,NYC,2026-09-05,79.7,81.93225806451613,1.3145309716161842,
2026-09-05T18:34:17+00:00,NYC,2026-09-06,70.6,75.57096774193548,2.0243985245144276,
2026-09-05T18:34:20+00:00,CHI,2026-09-05,80.7,82.80967741935486,1.7678773199864213,
2026-09-05T18:34:22+00:00,CHI,2026-09-06,80.1,80.2322580645161,1.7156560104828509,
2026-09-05T18:35:15+00:00,NYC,2026-09-05,79.7,81.93225806451613,1.3145309716161842,
2026-09-05T18:35:17+00:00,NYC,2026-09-06,70.6,75.57096774193548,2.0243985245144276,
2026-09-05T18:35:19+00:00,CHI,2026-09-05,80.7,82.80967741935486,1.7678773199864213,
2026-09-05T18:35:22+00:00,CHI,2026-09-06,80.1,80.2322580645161,1.7156560104828509,
2026-09-05T18:36:15+00:00,NYC,2026-09-05,79.7,81.93225806451613,1.3145309716161842,
