ts,city,target,ndfd_max
2026-09-06T15:44:20+00:00,NYC,2026-09-07,80.0
2026-09-06T15:44:25+00:00,CHI,2026-09-06,78.0
2026-09-06T15:44:27+00:00,CHI,2026-09-07,80.0
2026-09-06T15:45:16+00:00,NYC,2026-09-06,75.0
2026-09-06T15:45:20+00:00,NYC,2026-09-07,80.0
2026-09-06T15:45:24+00:00,CHI,2026-09-06,78.0
2026-09-06T15:45:26+00:00,CHI,2026-09-07,80.0
2026-09-06T15:46:16+00:00,NYC,2026-09-06,75.0
2026-09-06T15:46:20+00:00,NYC,2026-09-07,80.0
2026-09-06T15:46:24+00:00,CHI,2026-09-06,78.0
2026-09-06T15:46:26+00:00,CHI,2026-09-07,80.0
2026-09-06T15:47:16+00:00,NYC,2026-09-06,75.0
2026-09-06T15:47:20+00:00,NYC,2026-09-07,80.0
2026-09-06T15:47:24+00:00,CHI,2026-09-06,78.0
2026-09-06T15:47:27+00:00,CHI,2026-09-07,80.0
2026-09-06T15:48:16+00:00,NYC,2026-09-06,75.0
2026-09-06T15:48:21+00:00,NYC,2026-09-07,80.0
2026-09-06T15:48:25+00:00,CHI,2026-09-06,78.0
2026-09-06T15:48:28+00:00,CHI,2026-09-07,80.0
2026-09-06T15:49:16+00:00,NYC,2026-09-06,75.0
2026-09-06T15:49:20+00:00,NYC,2026-09-07,80.0
2026-09-06T15:49:24+00:00,CHI,2026-09-06,78.0
2026-09-06T15:49:27+00:00,CHI,2026-09-07,80.0
2026-09-06T15:50:16+00:00,NYC,2026-09-06,75.0
2026-09-06T15:50:20+00:00,NYC,2026-09-07,80.0
2026-09-06T15:50:24+00:00,CHI,2026-09-06,78.0
2026-09-06T15:50:27+00:00,CHI,2026-09-07,80.0
2026-09-06T15:51:16+00:00,NYC,2026-09-06,75.0
2026-09-06T15:51:20+00:00,NYC,2026-09-07,80.0
2026-09-06T15:51:24+00:00,CHI,2026-09-06,78.0
2026-09-06T15:51:27+00:00,CHI,2026-09-07,80.0
2026-09-06T15:52:17+00:00,NYC,2026-09-06,75.0
2026-09-06T15:52:21+00:00,NYC,2026-09-07,80.0
2026-09-06T15:52:24+00:00,CHI,2026-09-06,78.0
2026-09-06T15:52:26+00:00,CHI,2026-09-07,80.0
2026-09-06T15:53:16+00:00,NYC,2026-09-06,75.0
2026-09-06T15:53:20+00:00,NYC,2026-09-07,80.0
2026-09-06T15:53:24+00:00,CHI,2026-09-06,78.0
2026-09-06T15:53:27+00:00,CHI,2026-09-07,80.0
2026-09-06T16:11:21+00:00,NYC,2026-09-06,75.0
2026-09-06T16:11:27+00:00,NYC,2026-09-07,80.0
2026-09-06T16:11:33+00:00,CHI,2026-09-06,78.0
2026-09-06T16:11:36+00:00,CHI,2026-09-07,80.0
2026-09-06T16:12:18+00:00,NYC,2026-09-06,75.0
2026-09-06T16:12:23+00:00,NYC,2026-09-07,80.0
2026-09-06T16:12:28+00:00,CHI,2026-09-06,78.0
2026-09-06T16:12:31+00:00,CHI,2026-09-07,80.0
2026-09-06T16:13:18+00:00,NYC,2026-09-06,75.0
2026-09-06T16:13:24+00:00,NYC,2026-09-07,80.0
2026-09-06T16:13:29+00:00,CHI,2026-09-06,78.0
2026-09-06T16:13:32+00:00,CHI,2026-09-07,80.0
2026-09-06T16:14:18+00:00,NYC,2026-09-06,75.0
2026-09-06T16:14:23+00:00,NYC,2026-09-07,80.0
2026-09-06T16:14:28+00:00,CHI,2026-09-06,78.0
2026-09-06T16:14:32+00:00,CHI,2026-09-07,80.0
2026-09-06T16:15:18+00:00,NYC,2026-09-06,75.0
2026-09-06T16:15:24+00:00,NYC,2026-09-07,80.0
2026-09-06T16:15:28+00:00,CHI,2026-09-06,78.0
2026-09-06T16:15:32+00:00,CHI,2026-09-07,80.0
2026-09-06T16:16:18+00:00,NYC,2026-09-06,75.0
2026-09-06T16:16:24+00:00,NYC,2026-09-07,80.0
2026-09-06T16:16:28+00:00,CHI,2026-09-06,78.0
2026-09-06T16:16:32+00:00,CHI,2026-09-07,80.0
2026-09-06T16:17:18+00:00,NYC,2026-09-06,75.0
2026-09-06T16:17:23+00:00,NYC,2026-09-07,80.0
2026-09-06T16:17:29+00:00,CHI,2026-09-06,78.0
2026-09-06T16:17:32+00:00,CHI,2026-09-07,80.0
2026-09-06T16:18:55+00:00,NYC,2026-09-06,75.0
2026-09-06T16:19:00+00:00,NYC,2026-09-07,80.0
2026-09-06T16:19:06+00:00,CHI,2026-09-06,78.0
2026-09-06T16:19:10+00:00,CHI,2026-09-07,80.0
2026-09-06T16:19:54+00:00,NYC,2026-09-06,75.0
2026-09-06T16:19:59+00:00,NYC,2026-09-07,80.0
2026-09-06T16:20:04+00:00,CHI,2026-09-06,78.0
2026-09-06T16:20:08+00:00,CHI,2026-09-07,80.0
2026-09-06T16:20:55+00:00,NYC,2026-09-06,75.0
2026-09-06T16:21:01+00:00,NYC,2026-09-07,80.0
2026-09-06T16:21:06+00:00,CHI,2026-09-06,78.0
2026-09-06T16:21:10+00:00,CHI,2026-09-07,80.0
2026-09-06T17:14:11+00:00,NYC,2026-09-06,75.0
2026-09-06T17:14:16+00:00,NYC,2026-09-07,80.0
2026-09-06T17:14:21+00:00,CHI,2026-09-06,80.0
2026-09-06T17:14:24+00:00,CHI,2026-09-07,80.0
2026-09-06T20:21:54+00:00,NYC,2026-09-06,75.0
2026-09-06T20:22:00+00:00,NYC,2026-09-07,80.0
2026-09-06T20:22:08+00:00,CHI,2026-09-06,80.0
2026-09-06T20:22:13+00:00,CHI,2026-09-07,80.0
2026-09-06T22:11:38+00:00,NYC,2026-09-06,75.0
2026-09-06T22:11:44+00:00,NYC,2026-09-07,80.0
2026-09-06T22:12:03+00:00,CHI,2026-09-06,80.0
2026-09-06T22:12:09+00:00,CHI,2026-09-07,80.0
2026-09-06T22:16:42+00:00,NYC,2026-09-06,75.0
2026-09-06T22:16:48+00:00,NYC,2026-09-07,80.0
2026-09-06T22:16:54+00:00,CHI,2026-09-06,80.0
2026-09-06T22:17:00+00:00,CHI,2026-09-07,80.0
2026-09-06T22:17:39+00:00,NYC,2026-09-06,75.0
2026-09-06T22:17:45+00:00,NYC,2026-09-07,80.0
2026-09-06T22:17:51+00:00,CHI,2026-09-06,80.0
2026-09-06T22:17:57+00:00,CHI,2026-09-07,80.0
2026-09-06T22:20:04+00:00,CHI,2026-09-07,80.0
2026-09-07T00:41:54+00:00,CHI,2026-09-07,80.0
2026-09-07T06:40:17+00:00,NYC,2026-09-07,80.0
2026-09-07T06:40:40+00:00,CHI,2026-09-07,80.0
2026-09-07T12:40:02+00:00,NYC,2026-09-07,80.0
2026-09-07T12:40:08+00:00,CHI,2026-09-07,80.0
2026-09-07T17:10:01+00:00,NYC,2026-09-07,80.0
2026-09-07T17:10:06+00:00,NYC,2026-09-08,82.0
2026-09-07T17:10:27+00:00,CHI,2026-09-07,80.0
2026-09-07T17:10:30+00:00,CHI,2026-09-08,87.0
2026-09-07T17:10:48+00:00,NYC,2026-09-07,80.0
2026-09-07T17:10:52+00:00,NYC,2026-09-08,82.0
2026-09-07T17:10:57+00:00,CHI,2026-09-07,80.0
2026-09-07T17:11:00+00:00,CHI,2026-09-08,87.0
2026-09-07T17:11:02+00:00,NYC,2026-09-07,80.0
2026-09-07T17:11:07+00:00,NYC,2026-09-08,82.0
2026-09-07T17:11:11+00:00,CHI,2026-09-07,80.0
2026-09-07T17:11:14+00:00,CHI,2026-09-08,87.0
2026-09-07T18:40:07+00:00,NYC,2026-09-07,80.0
2026-09-07T18:40:14+00:00,NYC,2026-09-08,82.0
2026-09-07T18:40:20+00:00,CHI,2026-09-07,80.0
2026-09-07T18:40:27+00:00,CHI,2026-09-08,87.0
2026-09-07T19:47:48+00:00,NYC,2026-09-07,80.0
2026-09-07T19:49:13+00:00,NYC,2026-09-07,80.0
2026-09-07T19:49:25+00:00,NYC,2026-09-08,84.0
2026-09-07T19:49:32+00:00,CHI,2026-09-07,80.0
2026-09-07T19:49:37+00:00,CHI,2026-09-08,86.0
2026-09-07T20:12:03+00:00,NYC,2026-09-07,80.0
2026-09-07T20:12:11+00:00,NYC,2026-09-08,84.0
2026-09-07T20:12:19+00:00,CHI,2026-09-07,80.0
2026-09-07T20:12:26+00:00,CHI,2026-09-08,86.0
2026-09-07T20:12:51+00:00,NYC,2026-09-07,80.0
2026-09-07T20:12:59+00:00,NYC,2026-09-08,84.0
2026-09-07T20:13:07+00:00,CHI,2026-09-07,80.0
2026-09-07T20:13:13+00:00,CHI,2026-09-08,86.0
2026-09-07T20:13:34+00:00,NYC,2026-09-07,80.0
2026-09-07T20:13:42+00:00,NYC,2026-09-08,84.0
2026-09-07T20:13:50+00:00,CHI,2026-09-07,80.0
2026-09-07T20:13:56+00:00,CHI,2026-09-08,86.0
2026-09-07T20:15:48+00:00,NYC,2026-09-07,80.0
2026-09-07T20:15:58+00:00,NYC,2026-09-08,84.0
2026-09-07T20:16:09+00:00,CHI,2026-09-07,80.0
2026-09-07T20:16:17+00:00,CHI,2026-09-08,86.0
2026-09-07T20:18:24+00:00,NYC,2026-09-07,80.0
2026-09-07T20:18:27+00:00,NYC,2026-09-07,80.0
2026-09-07T20:18:36+00:00,NYC,2026-09-08,84.0
2026-09-07T20:18:37+00:00,NYC,2026-09-08,84.0
2026-09-07T20:18:48+00:00,CHI,2026-09-07,80.0
2026-09-07T20:18:48+00:00,CHI,2026-09-07,80.0
2026-09-07T20:18:57+00:00,CHI,2026-09-08,86.0
2026-09-07T20:18:57+00:00,CHI,2026-09-08,86.0
2026-09-07T20:19:24+00:00,NYC,2026-09-07,80.0
2026-09-07T20:19:32+00:00,NYC,2026-09-08,84.0
2026-09-07T20:19:41+00:00,CHI,2026-09-07,80.0
2026-09-07T20:19:49+00:00,CHI,2026-09-08,86.0
2026-09-07T20:20:24+00:00,NYC,2026-09-07,80.0
2026-09-07T20:20:32+00:00,NYC,2026-09-08,84.0
2026-09-07T20:20:41+00:00,CHI,2026-09-07,80.0
2026-09-07T20:20:48+00:00,CHI,2026-09-08,86.0
2026-09-07T20:21:24+00:00,NYC,2026-09-07,80.0
2026-09-07T20:21:35+00:00,NYC,2026-09-08,84.0
2026-09-07T20:21:43+00:00,CHI,2026-09-07,80.0
2026-09-07T20:21:50+00:00,CHI,2026-09-08,86.0
2026-09-07T20:22:24+00:00,NYC,2026-09-07,80.0
2026-09-07T20:22:33+00:00,NYC,2026-09-08,84.0
2026-09-07T20:22:41+00:00,CHI,2026-09-07,80.0
2026-09-07T20:22:48+00:00,CHI,2026-09-08,86.0
2026-09-07T20:23:29+00:00,NYC,2026-09-07,80.0
2026-09-07T20:23:38+00:00,NYC,2026-09-08,84.0
2026-09-07T20:23:46+00:00,CHI,2026-09-07,80.0
2026-09-07T20:23:54+00:00,CHI,2026-09-08,86.0
2026-09-07T23:20:01+00:00,NYC,2026-09-07,80.0
2026-09-07T23:20:11+00:00,NYC,2026-09-08,84.0
2026-09-07T23:20:42+00:00,CHI,2026-09-07,80.0
2026-09-07T23:20:50+00:00,CHI,2026-09-08,86.0
2026-09-08T00:40:05+00:00,NYC,2026-09-07,
2026-09-08T00:40:14+00:00,NYC,2026-09-08,84.0
2026-09-08T00:40:24+00:00,CHI,2026-09-07,
2026-09-08T00:40:32+00:00,CHI,2026-09-08,86.0
2026-09-08T17:25:20+00:00,NYC,2026-09-08,84.0
2026-09-08T17:25:26+00:00,NYC,2026-09-09,86.0
2026-09-08T17:25:44+00:00,CHI,2026-09-08,86.0
2026-09-08T17:25:49+00:00,CHI,2026-09-09,84.0
